,col_name,col_dtype,col_name_full,col_description,col_example
0,dt,datetime64[ns],date,primary key from which all metadata and dimension data is referencing,
1,y,int64,year,year number,
2,m,int64,month,month number,
3,d,int64,day,calendar day number,
4,ym,int64,yearmonth,year and month in YYYYMM format,
5,dt_int,int64,date as integer,"year, month, and calendar day in YYYYMMDD format as integer",
6,dow_name,object,day of week name,the name of the day of week,"(e.g., ""Monday"", ""Tuesday"", etc.)"
7,dow,int64,day of week,day of week number,"(e.g., 0=Monday, 1=Tuesday, etc.)"
8,doy,int64,day of year,calendar day number of the year,"(e.g., Jan31 = 31, Feb1 = 32, etc.)"
9,m_name,object,month name,the name of the month,"(e.g., ""January"", ""February"", etc.)"
10,iso_week,int64,iso week number,"the week number using ISO conventions, which under certain conditions will count the first partial week of a year as week number zero",
11,norm_week,int32,normal week number,the week number using a custom convention that defines the first partial week of the year as week number 1 and increments the week number each Sunday,
12,q,int64,quarter,"the quarter number within the year, from 1 to 4, using the standard calendar quarters",
13,yq,int64,yearquarter,the year and quarter number in YYYYQ format,
14,h,int64,half (of year),"the half number within the year, from 1 to 2, using standard calendar quarters","(Q1 and Q2 = half 1, Q3 and Q4 = half 2)"
15,yh,int64,yearhalf,the year and half number in YYYYH format,
16,ym_name,object,yearmonth name,the month name spelled out with the year,"(e.g., ""January, 2018"")"
17,dom_suffix,object,day of month suffix,the appropriate suffix for the calendar number within the month,"(e.g., March 3 = ""rd"" for 3rd, April 1 = ""st"" for 1st, etc.)"
18,dt_name,object,date name,"the month name spelled out with the calendar day number, the appropriate suffix, a comma, and the year","(e.g., ""June 22nd, 1999"")"
19,is_weekd,int32,is weekday?,is this a weekend?,"(e.g., 1=Yes, 0=No)"
20,weekdom,int32,weekday of month,weekday number within the month; weekends carry the prior weekday number forward,"(e.g. Fri Aug 14 2020 through Sun Aug 16 2020 = 10; Mon Aug 17 2020 = 11, etc.)"
21,tot_weekd_in_mo,int64,total weekdays in month,total weekdays in the month,"(e.g., Aug 2020 = 21 weekdays long)"
22,weekd_remain_ym,int64,weekdays remaining in yearmonth,number of weekdays until the yearmonth ends,
23,tot_cald_in_mo,int64,total calendar days in month,total calendar day in the month,(e.g. Aug 2020 = 31 calendar days long)
24,cald_remain_ym,int64,calendar days remaining in yearmonth,number of calendar days left in the yearmonth,
25,weekdoy,int32,weekday of year,weekday number within the year; weekends carry the prior weekday number forward,
26,tot_weekd_in_y,int64,total weekdays in year,total weekdays in the year,
27,weekd_remain_y,int64,weekdays remaining in year,number of weekdays until the year ends,
28,tot_cald_in_y,int64,total calendar days in year,total calendar days in the year,"(e.g., usually 365, except on Leap Year with certain special exceptions)"
29,cald_remain_y,int64,calendar days remaining in year,calendar days remaining until year ends,
30,is_dow_mon,int32,is day of week Monday?,is the date a Monday?,"(e.g., 1=Yes, 0=No)"
31,is_dow_tue,int32,is day of week Tuesday?,is the date a Tuesday?,"(e.g., 1=Yes, 0=No)"
32,is_dow_wed,int32,is day of week Wednesday?,is the date a Wednesday?,"(e.g., 1=Yes, 0=No)"
