col_name,col_name_full,col_description,col_example
dt,date,primary key from which all metadata and dimension data is referencing,
y,year,year number,
m,month,month number,
d,day,calendar day number,
ym,yearmonth,year and month in YYYYMM format,
dt_int,date as integer,"year, month, and calendar day in YYYYMMDD format as integer",
dow_name,day of week name,the name of the day of week,"(e.g., ""Monday"", ""Tuesday"", etc.)"
dow,day of week,day of week number,"(e.g., 0=Monday, 1=Tuesday, etc.)"
doy,day of year,calendar day number of the year,"(e.g., Jan31 = 31, Feb1 = 32, etc.)"
m_name,month name,the name of the month,"(e.g., ""January"", ""February"", etc.)"
iso_week,iso week number,"the week number using ISO conventions, which under certain conditions will count the first partial week of a year as week number zero",
norm_week,normal week number,the week number using a custom convention that defines the first partial week of the year as week number 1 and increments the week number each Sunday,
q,quarter,"the quarter number within the year, from 1 to 4, using the standard calendar quarters",
yq,yearquarter,the year and quarter number in YYYYQ format,
h,half (of year),"the half number within the year, from 1 to 2, using standard calendar quarters","(Q1 and Q2 = half 1, Q3 and Q4 = half 2)"
yh,yearhalf,the year and half number in YYYYH format,
ym_name,yearmonth name,the month name spelled out with the year,"(e.g., ""January, 2018"")"
dom_suffix,day of month suffix,the appropriate suffix for the calendar number within the month,"(e.g., March 3 = ""rd"" for 3rd, April 1 = ""st"" for 1st, etc.)"
dt_name,date name,"the month name spelled out with the calendar day number, the appropriate suffix, a comma, and the year","(e.g., ""June 22nd, 1999"")"
is_weekd,is weekday?,is this a weekend?,"(e.g., 1=Yes, 0=No)"
weekdom,weekday of month,weekday number within the month; weekends carry the prior weekday number forward,"(e.g. Fri Aug 14 2020 through Sun Aug 16 2020 = 10; Mon Aug 17 2020 = 11, etc.)"
tot_weekd_in_mo,total weekdays in month,total weekdays in the month,"(e.g., Aug 2020 = 21 weekdays long)"
tot_cald_in_mo,total calendar days in month,total calendar day in the month,(e.g. Aug 2020 = 31 calendar days long)
weekdoy,weekday of year,weekday number within the year; weekends carry the prior weekday number forward,
tot_weekd_in_y,total weekdays in year,total weekdays in the year,
tot_cald_in_y,total calendar days in year,total calendar days in the year,"(e.g., usually 365, except on Leap Year with certain special exceptions)"
is_dow_mon,is day of week Monday?,,
is_dow_tue,is day of week Tuesday?,,
is_dow_wed,is day of week Wednesday?,,
is_dow_thu,is day of week Thursday?,,
is_dow_fri,is day of week Friday?,,
is_dow_sat,is day of week Saturday?,,
is_dow_sun,is day of week Sunday?,,
tot_mon_in_ym,total Mondays in yearmonth,,
tot_tue_in_ym,total Tuesdays in yearmonth,,
tot_wed_in_ym,total Wednesdays in yearmonth,,
tot_thu_in_ym,total Thursdays in yearmonth,,
tot_fri_in_ym,total Fridays in yearmonth,,
tot_sat_in_ym,total Saturdays in yearmonth,,
tot_sun_in_ym,total Sundays in yearmonth,,
tot_mon_in_y,total Mondays in year,,
tot_tue_in_y,total Tuesdays in year,,
tot_wed_in_y,total Wednesdays in year,,
tot_thu_in_y,total Thursdays in year,,
tot_fri_in_y,total Fridays in year,,
tot_sat_in_y,total Saturdays in year,,
tot_sun_in_y,total Sundays in year,,
dow_mon_om,day of week Monday of month,,
dow_tue_om,day of week Tuesday of month,,
dow_wed_om,day of week Wednesday of month,,
dow_thu_om,day of week Thursday of month,,
dow_fri_om,day of week Friday of month,,
dow_sat_om,day of week Saturday of month,,
dow_sun_om,day of week Sunday of month,,
dow_mon_oy,day of week Monday of yeah,,
dow_tue_oy,day of week Tuesday of yeah,,
dow_wed_oy,day of week Wednesday of year,,
dow_thu_oy,day of week Thursday of year,,
dow_fri_oy,day of week Friday of year,,
dow_sat_oy,day of week Saturday of year,,
dow_sun_oy,day of week Sunday of year,,
dow_om,day of week of month,,
dow_om_max,day of week of month max,,
dow_oy,day of week of year,,
is_holiday,is holiday?,,
holiday,holiday,,
is_d_leapyr,is day leap year?,,
is_ym_leapyr,is yearmonth leap year?,,
is_y_leapyr,is year leap year?,,
first_dom_dt,first day of month date,,
first_dom_int,first day of month int,,
last_dom_dt,last day of month date,,
last_dom_int,last day of month int,,
first_doyq_dt,first day of quarter date,,
first_doyq_int,first day of quarter int,,
last_doyq_dt,last day of quarter date,,
last_doyq_int,last day of quarter int,,
first_doyh_int,first day of year half (of year) int,,
last_doyh_dt,last day of year half (of year) date,,
last_doyh_int,last day of year half (of year) int,,
first_doy_dt,first day of year date,,
first_doy_int,first day of year int,,
last_doy_dt,last day of year date,,
last_doy_int,last day of year int,,
moon_phase_name,moon phase name,,
moon_phase_index_int,moon phase index integer,,
moon_phase_index_full,moon phase index full,,
moon_illum_pct,moon illumination percent,,
sunrise_utc,sunrise UTC (timezone),,
sunset_utc,sunset UTC (timezone),,
sun_duration_utc,sun duration UTC (timezone),,
dark_duration_utc,dark duration UTC (timezone),,
sunrise_local,sunrise local (coordinates),,
sunset_local,sunset local (coordinates),,
sun_duration_local,sun duration local (coordinates),,
dark_duration_local,dark duration local (coordinates),,
